entry_time;entry_price;exit_time;exit_price;side;tp_price;sl_price;entry_bid_density;entry_ask_density;entry_net_density;filter_mode;resultado;profit_points;profit_dollars;contracts;cumulative_profit
2025-10-09 18:56:54.000;25225,75;2025-10-09 18:57:02.500;25223,75;SHORT;25223,75;25227,75;7;34;27;MODO_1;TP;2,0;40,0;1;5680,0
2025-10-09 18:57:58.500;25211,0;2025-10-09 18:58:05.500;25209,0;LONG;25213,0;25209,0;10;18;8;MODO_1;SL;-2,0;-40,0;1;5640,0
2025-10-09 18:58:19.500;25201,0;2025-10-09 18:58:21.500;25199,0;SHORT;25199,0;25203,0;7;16;9;MODO_1;TP;2,0;40,0;1;5680,0
2025-10-09 18:58:23.500;25201,0;2025-10-09 18:58:27.000;25203,0;SHORT;25199,0;25203,0;7;12;5;MODO_1;SL;-2,0;-40,0;1;5640,0
2025-10-09 18:58:47.500;25200,75;2025-10-09 18:58:51.000;25198,75;LONG;25202,75;25198,75;17;14;-3;MODO_1;SL;-2,0;-40,0;1;5600,0
2025-10-09 18:59:04.500;25200,0;2025-10-09 18:59:05.000;25202,0;SHORT;25198,0;25202,0;17;14;-3;MODO_1;SL;-2,0;-40,0;1;5560,0
2025-10-09 18:59:57.000;25203,25;2025-10-09 19:00:00.000;25201,25;SHORT;25201,25;25205,25;14;5;-9;MODO_1;TP;2,0;40,0;1;5600,0
2025-10-09 19:00:00.000;25203,25;2025-10-09 19:00:00.500;25201,25;SHORT;25201,25;25205,25;13;5;-8;MODO_1;TP;2,0;40,0;1;5640,0
2025-10-09 19:00:05.500;25203,25;2025-10-09 19:00:06.000;25201,25;SHORT;25201,25;25205,25;13;5;-8;MODO_1;TP;2,0;40,0;1;5680,0
2025-10-09 19:00:06.000;25202,5;2025-10-09 19:00:07.000;25204,5;LONG;25204,5;25200,5;13;5;-8;MODO_1;TP;2,0;40,0;1;5720,0
2025-10-09 19:00:08.500;25202,75;2025-10-09 19:00:08.500;25204,75;LONG;25204,75;25200,75;13;5;-8;MODO_1;TP;2,0;40,0;1;5760,0
2025-10-09 19:00:14.500;25208,5;2025-10-09 19:00:15.500;25210,5;LONG;25210,5;25206,5;13;5;-8;MODO_1;TP;2,0;40,0;1;5800,0
2025-10-09 19:00:38.500;25208,75;2025-10-09 19:00:41.500;25210,75;SHORT;25206,75;25210,75;11;4;-7;MODO_1;SL;-2,0;-40,0;1;5760,0
2025-10-09 19:01:10.000;25211,0;2025-10-09 19:01:14.000;25213,0;LONG;25213,0;25209,0;11;7;-4;MODO_1;TP;2,0;40,0;1;5800,0
2025-10-09 19:02:21.000;25218,0;2025-10-09 19:02:22.500;25216,0;SHORT;25216,0;25220,0;11;5;-6;MODO_1;TP;2,0;40,0;1;5840,0
2025-10-09 19:03:01.000;25206,25;2025-10-09 19:03:01.500;25204,25;SHORT;25204,25;25208,25;11;11;0;MODO_1;TP;2,0;40,0;1;5880,0
2025-10-09 19:03:12.500;25201,0;2025-10-09 19:03:14.000;25203,0;SHORT;25199,0;25203,0;12;11;-1;MODO_1;SL;-2,0;-40,0;1;5840,0
2025-10-09 19:03:29.500;25210,75;2025-10-09 19:03:31.500;25208,75;LONG;25212,75;25208,75;12;11;-1;MODO_1;SL;-2,0;-40,0;1;5800,0
2025-10-09 19:03:33.500;25210,75;2025-10-09 19:03:37.500;25208,75;LONG;25212,75;25208,75;12;11;-1;MODO_1;SL;-2,0;-40,0;1;5760,0
2025-10-09 19:04:03.000;25201,0;2025-10-09 19:04:05.000;25203,0;SHORT;25199,0;25203,0;17;9;-8;MODO_1;SL;-2,0;-40,0;1;5720,0
2025-10-09 19:04:30.500;25204,25;2025-10-09 19:04:33.000;25202,25;LONG;25206,25;25202,25;17;15;-2;MODO_1;SL;-2,0;-40,0;1;5680,0
2025-10-09 19:05:12.000;25211,0;2025-10-09 19:05:19.000;25209,0;LONG;25213,0;25209,0;7;14;7;MODO_1;SL;-2,0;-40,0;1;5640,0
2025-10-09 19:05:41.000;25198,25;2025-10-09 19:05:41.500;25196,25;SHORT;25196,25;25200,25;9;11;2;MODO_1;TP;2,0;40,0;1;5680,0
2025-10-09 19:06:50.500;25211,0;2025-10-09 19:06:53.500;25213,0;SHORT;25209,0;25213,0;9;18;9;MODO_1;SL;-2,0;-40,0;1;5640,0
2025-10-09 19:07:27.500;25213,75;2025-10-09 19:07:29.000;25211,75;SHORT;25211,75;25215,75;9;12;3;MODO_1;TP;2,0;40,0;1;5680,0
2025-10-09 19:07:34.000;25210,75;2025-10-09 19:07:37.500;25212,75;LONG;25212,75;25208,75;9;12;3;MODO_1;TP;2,0;40,0;1;5720,0
2025-10-09 19:07:59.500;25215,0;2025-10-09 19:08:01.500;25217,0;SHORT;25213,0;25217,0;10;16;6;MODO_1;SL;-2,0;-40,0;1;5680,0
2025-10-09 19:08:20.500;25215,0;2025-10-09 19:08:29.000;25213,0;SHORT;25213,0;25217,0;13;15;2;MODO_1;TP;2,0;40,0;1;5720,0
2025-10-09 19:09:08.500;25225,75;2025-10-09 19:09:17.000;25227,75;SHORT;25223,75;25227,75;5;16;11;MODO_1;SL;-2,0;-40,0;1;5680,0
2025-10-09 19:09:42.000;25228,25;2025-10-09 19:09:45.000;25226,25;LONG;25230,25;25226,25;5;15;10;MODO_1;SL;-2,0;-40,0;1;5640,0
2025-10-09 19:10:34.500;25212,0;2025-10-09 19:10:36.500;25214,0;SHORT;25210,0;25214,0;11;24;13;MODO_1;SL;-2,0;-40,0;1;5600,0
2025-10-09 19:11:29.000;25208,0;2025-10-09 19:11:34.500;25206,0;SHORT;25206,0;25210,0;7;19;12;MODO_1;TP;2,0;40,0;1;5640,0
2025-10-09 19:11:37.500;25206,25;2025-10-09 19:11:38.000;25208,25;LONG;25208,25;25204,25;7;19;12;MODO_1;TP;2,0;40,0;1;5680,0
2025-10-09 19:11:39.500;25206,25;2025-10-09 19:11:39.500;25208,25;LONG;25208,25;25204,25;7;19;12;MODO_1;TP;2,0;40,0;1;5720,0
2025-10-09 19:11:50.000;25208,0;2025-10-09 19:11:55.000;25210,0;SHORT;25206,0;25210,0;7;19;12;MODO_1;SL;-2,0;-40,0;1;5680,0
2025-10-09 19:12:06.000;25206,25;2025-10-09 19:12:07.500;25204,25;LONG;25208,25;25204,25;7;15;8;MODO_1;SL;-2,0;-40,0;1;5640,0
2025-10-09 19:13:37.500;25204,0;2025-10-09 19:13:40.000;25206,0;SHORT;25202,0;25206,0;10;16;6;MODO_1;SL;-2,0;-40,0;1;5600,0
2025-10-09 19:14:14.500;25192,5;2025-10-09 19:14:17.000;25194,5;SHORT;25190,5;25194,5;13;18;5;MODO_1;SL;-2,0;-40,0;1;5560,0
2025-10-09 19:14:21.000;25198,0;2025-10-09 19:14:44.000;25200,0;LONG;25200,0;25196,0;13;18;5;MODO_1;TP;2,0;40,0;1;5600,0
2025-10-09 19:15:17.500;25198,0;2025-10-09 19:15:17.500;25200,0;LONG;25200,0;25196,0;13;20;7;MODO_1;TP;2,0;40,0;1;5640,0
2025-10-09 19:15:18.500;25198,25;2025-10-09 19:15:25.000;25200,25;SHORT;25196,25;25200,25;13;20;7;MODO_1;SL;-2,0;-40,0;1;5600,0
2025-10-09 19:15:44.000;25197,0;2025-10-09 19:15:46.000;25195,0;LONG;25199,0;25195,0;9;16;7;MODO_1;SL;-2,0;-40,0;1;5560,0
2025-10-09 19:16:09.500;25197,5;2025-10-09 19:16:11.000;25195,5;SHORT;25195,5;25199,5;4;11;7;MODO_1;TP;2,0;40,0;1;5600,0
2025-10-09 19:16:13.500;25197,5;2025-10-09 19:16:17.000;25195,5;SHORT;25195,5;25199,5;3;9;6;MODO_1;TP;2,0;40,0;1;5640,0
